movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt10350922,Laxmii,259.,2020,141 min,2.6,"57,508","Action, Comedy, Horror           "
tt6306064,Adrift,260.,2018,96 min,6.6,"57,449","Action, Adventure, Biography           "
tt4687108,In the Tall Grass,261.,2019,101 min,5.4,"57,271","Horror, Mystery, Sci-Fi           "
tt6772950,Truth or Dare,262.,2018,100 min,5.2,"57,123","Horror, Thriller           "
tt7374948,Always Be My Maybe,263.,2019,101 min,6.8,"57,079","Comedy, Romance           "
tt6398184,Downton Abbey,264.,2019,122 min,7.4,"56,947","Drama, Romance           "
tt6908274,Mirage,265.,2018,128 min,7.4,"56,712","Drama, Fantasy, Mystery           "
tt4126476,After,266.,2019,105 min,5.3,"56,298","Drama, Romance           "
tt8784956,Ava,267.,2020,96 min,5.4,"56,232","Action, Drama, Thriller           "
tt6452574,Sanju,268.,2018,155 min,7.6,"55,344","Biography, Comedy, Drama           "
tt7668842,Enes Batur,269.,2018,110 min,2.0,"55,290",Comedy           
tt7825208,Marighella,270.,2019,155 min,6.6,"55,248","Action, Drama, History           "
tt9052870,Chhichhore,271.,2019,143 min,8.3,"54,937","Comedy, Drama, Romance           "
tt5304992,Set It Up,272.,2018,105 min,6.5,"54,919","Comedy, Romance           "
tt9214832,Emma.,273.,2020,124 min,6.7,"54,896","Comedy, Drama, Romance           "
tt5968394,Captive State,274.,2019,109 min,6.0,"54,834","Action, Horror, Sci-Fi           "
tt6791096,I Feel Pretty,275.,2018,110 min,5.6,"54,419","Comedy, Romance           "
tt5834262,Hotel Artemis,276.,2018,94 min,6.1,"54,229","Action, Crime, Drama           "
tt4463894,Shaft,277.,2019,111 min,6.4,"54,188","Action, Comedy, Crime           "
tt7958736,Ma,278.,2019,99 min,5.6,"54,006","Horror, Mystery, Thriller           "
tt9731534,The Night House,279.,2020,107 min,6.5,"53,968","Horror, Mystery, Thriller           "
tt8110640,In the Shadow of the Moon,280.,2019,115 min,6.2,"53,928","Action, Crime, Mystery           "
tt10514222,Ma Rainey's Black Bottom,281.,2020,94 min,6.9,"53,919","Drama, Music           "
tt5246700,How It Ends,282.,2018,113 min,5.0,"53,822","Action, Drama, Horror           "
tt6217306,Apostle,283.,2018,130 min,6.3,"53,813","Drama, Fantasy, Horror           "
tt3201640,Extinction,284.,2018,95 min,5.8,"53,563","Action, Drama, Sci-Fi           "
tt0983946,Fantasy Island,285.,2020,109 min,4.9,"53,057","Fantasy, Horror, Mystery           "
tt4595882,Can You Ever Forgive Me?,286.,2018,106 min,7.1,"52,830","Biography, Comedy, Crime           "
tt6820256,Arctic,287.,2018,98 min,6.8,"52,824","Adventure, Drama           "
tt8663516,Child's Play,288.,2019,90 min,5.7,"52,654","Drama, Horror, Sci-Fi           "
